"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2","Native","Native 1",24,"disamb","fp","disamb fp",4,0,188,188,"Unambiguous","Mismatch"
"4","Native","Native 1",12,"disamb","fp","disamb fp",4,0,192,192,"Unambiguous","Mismatch"
"6","Native","Native 1",6,"disamb","fp","disamb fp",2,0,344,344,"Ambiguous","Mismatch"
"8","Native","Native 1",7,"disamb","fp","disamb fp",3,0,186,186,"Unambiguous","Match"
"10","Native","Native 1",14,"disamb","fp","disamb fp",2,0,303,303,"Ambiguous","Mismatch"
"12","Native","Native 1",21,"disamb","fp","disamb fp",1,0,191,191,"Ambiguous","Match"
"14","Native","Native 1",19,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"16","Native","Native 1",17,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match"
"18","Native","Native 1",10,"disamb","fp","disamb fp",2,0,513,513,"Ambiguous","Mismatch"
"20","Native","Native 1",23,"disamb","fp","disamb fp",3,0,449,449,"Unambiguous","Match"
"22","Native","Native 1",15,"disamb","fp","disamb fp",3,0,348,348,"Unambiguous","Match"
"24","Native","Native 1",1,"disamb","fp","disamb fp",1,0,201,201,"Ambiguous","Match"
"26","Native","Native 1",2,"disamb","fp","disamb fp",2,0,276,276,"Ambiguous","Mismatch"
"28","Native","Native 1",5,"disamb","fp","disamb fp",1,0,347,347,"Ambiguous","Match"
"30","Native","Native 1",16,"disamb","fp","disamb fp",4,0,264,264,"Unambiguous","Mismatch"
"32","Native","Native 1",3,"disamb","fp","disamb fp",3,0,203,203,"Unambiguous","Match"
"34","Native","Native 1",13,"disamb","fp","disamb fp",1,1,0,NA,"Ambiguous","Match"
"36","Native","Native 1",11,"disamb","fp","disamb fp",3,0,451,451,"Unambiguous","Match"
"38","Native","Native 1",9,"disamb","fp","disamb fp",1,0,335,335,"Ambiguous","Match"
"40","Native","Native 1",8,"disamb","fp","disamb fp",4,0,289,289,"Unambiguous","Mismatch"
"42","Native","Native 1",4,"disamb","fp","disamb fp",4,0,253,253,"Unambiguous","Mismatch"
"44","Native","Native 1",20,"disamb","fp","disamb fp",4,0,381,381,"Unambiguous","Mismatch"
"46","Native","Native 1",18,"disamb","fp","disamb fp",2,0,234,234,"Ambiguous","Mismatch"
"48","Native","Native 1",22,"disamb","fp","disamb fp",2,0,170,170,"Ambiguous","Mismatch"
"50","Native","Native 2",14,"disamb","fp","disamb fp",3,0,199,199,"Unambiguous","Match"
"52","Native","Native 2",4,"disamb","fp","disamb fp",1,0,323,323,"Ambiguous","Match"
"54","Native","Native 2",19,"disamb","fp","disamb fp",4,0,250,250,"Unambiguous","Mismatch"
"56","Native","Native 2",1,"disamb","fp","disamb fp",2,0,194,194,"Ambiguous","Mismatch"
"58","Native","Native 2",5,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"60","Native","Native 2",15,"disamb","fp","disamb fp",4,0,178,178,"Unambiguous","Mismatch"
"62","Native","Native 2",7,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Mismatch"
"64","Native","Native 2",18,"disamb","fp","disamb fp",3,0,210,210,"Unambiguous","Match"
"66","Native","Native 2",6,"disamb","fp","disamb fp",3,0,369,369,"Unambiguous","Match"
"68","Native","Native 2",22,"disamb","fp","disamb fp",3,0,302,302,"Unambiguous","Match"
"70","Native","Native 2",10,"disamb","fp","disamb fp",3,0,552,552,"Unambiguous","Match"
"72","Native","Native 2",8,"disamb","fp","disamb fp",1,0,307,307,"Ambiguous","Match"
"74","Native","Native 2",24,"disamb","fp","disamb fp",1,0,448,448,"Ambiguous","Match"
"76","Native","Native 2",17,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"78","Native","Native 2",2,"disamb","fp","disamb fp",3,1,0,NA,"Unambiguous","Match"
"80","Native","Native 2",11,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"82","Native","Native 2",3,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"84","Native","Native 2",21,"disamb","fp","disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"86","Native","Native 2",20,"disamb","fp","disamb fp",1,0,244,244,"Ambiguous","Match"
"88","Native","Native 2",16,"disamb","fp","disamb fp",1,0,142,142,"Ambiguous","Match"
"90","Native","Native 2",13,"disamb","fp","disamb fp",2,0,321,321,"Ambiguous","Mismatch"
"92","Native","Native 2",9,"disamb","fp","disamb fp",2,0,253,253,"Ambiguous","Mismatch"
"94","Native","Native 2",12,"disamb","fp","disamb fp",1,0,269,269,"Ambiguous","Match"
