"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"11521","Native","Native 1",38,"disamb","rp","disamb rp",6,0,328,328,"Unambiguous","Consistent"
"11523","Native","Native 1",39,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent"
"11525","Native","Native 1",26,"disamb","rp","disamb rp",6,0,586,586,"Unambiguous","Consistent"
"11527","Native","Native 1",34,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent"
"11529","Native","Native 1",46,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent"
"11531","Native","Native 1",29,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent"
"11533","Native","Native 1",36,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11535","Native","Native 1",30,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent"
"11537","Native","Native 1",40,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11539","Native","Native 1",33,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent"
"11541","Native","Native 1",43,"disamb","rp","disamb rp",7,0,708,708,"Ambiguous","Inconsistent"
"11543","Native","Native 1",28,"disamb","rp","disamb rp",8,0,375,375,"Unambiguous","Inconsistent"
"11545","Native","Native 1",31,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent"
"11547","Native","Native 1",45,"disamb","rp","disamb rp",5,0,298,298,"Ambiguous","Consistent"
"11549","Native","Native 1",25,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent"
"11551","Native","Native 1",41,"disamb","rp","disamb rp",5,0,252,252,"Ambiguous","Consistent"
"11553","Native","Native 1",42,"disamb","rp","disamb rp",6,0,853,853,"Unambiguous","Consistent"
"11555","Native","Native 1",37,"disamb","rp","disamb rp",5,0,1039,1039,"Ambiguous","Consistent"
"11557","Native","Native 1",32,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11559","Native","Native 1",48,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11561","Native","Native 1",47,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent"
"11563","Native","Native 1",44,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11565","Native","Native 1",27,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent"
"11567","Native","Native 1",35,"disamb","rp","disamb rp",7,0,201,201,"Ambiguous","Inconsistent"
"11569","Native","Native 2",46,"disamb","rp","disamb rp",7,0,159,159,"Ambiguous","Inconsistent"
"11571","Native","Native 2",25,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent"
"11573","Native","Native 2",39,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11575","Native","Native 2",38,"disamb","rp","disamb rp",7,0,1007,1007,"Ambiguous","Inconsistent"
"11577","Native","Native 2",30,"disamb","rp","disamb rp",7,0,576,576,"Ambiguous","Inconsistent"
"11579","Native","Native 2",27,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent"
"11581","Native","Native 2",29,"disamb","rp","disamb rp",6,0,675,675,"Unambiguous","Consistent"
"11583","Native","Native 2",33,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent"
