"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"13442","Native","Native Native 1",24,"spillover1","rp","spillover1 rp",4,0,364,364,"Unambiguous","Mismatch"
"13444","Native","Native Native 1",12,"spillover1","rp","spillover1 rp",4,0,4501,4501,"Unambiguous","Mismatch"
"13446","Native","Native Native 1",6,"spillover1","rp","spillover1 rp",2,0,161,161,"Ambiguous","Mismatch"
"13448","Native","Native Native 1",7,"spillover1","rp","spillover1 rp",3,1,0,NA,"Unambiguous","Match"
"13450","Native","Native Native 1",14,"spillover1","rp","spillover1 rp",2,0,1657,1657,"Ambiguous","Mismatch"
"13452","Native","Native Native 1",21,"spillover1","rp","spillover1 rp",1,0,1279,1279,"Ambiguous","Match"
"13454","Native","Native Native 1",19,"spillover1","rp","spillover1 rp",3,0,206,206,"Unambiguous","Match"
"13456","Native","Native Native 1",17,"spillover1","rp","spillover1 rp",1,0,938,938,"Ambiguous","Match"
"13458","Native","Native Native 1",10,"spillover1","rp","spillover1 rp",2,0,1145,1145,"Ambiguous","Mismatch"
"13460","Native","Native Native 1",23,"spillover1","rp","spillover1 rp",3,0,290,290,"Unambiguous","Match"
"13462","Native","Native Native 1",15,"spillover1","rp","spillover1 rp",3,0,195,195,"Unambiguous","Match"
"13464","Native","Native Native 1",1,"spillover1","rp","spillover1 rp",1,0,179,179,"Ambiguous","Match"
"13466","Native","Native Native 1",2,"spillover1","rp","spillover1 rp",2,0,209,209,"Ambiguous","Mismatch"
"13468","Native","Native Native 1",5,"spillover1","rp","spillover1 rp",1,0,408,408,"Ambiguous","Match"
"13470","Native","Native Native 1",16,"spillover1","rp","spillover1 rp",4,0,233,233,"Unambiguous","Mismatch"
"13472","Native","Native Native 1",3,"spillover1","rp","spillover1 rp",3,0,2223,2223,"Unambiguous","Match"
"13474","Native","Native Native 1",13,"spillover1","rp","spillover1 rp",1,0,945,945,"Ambiguous","Match"
"13476","Native","Native Native 1",11,"spillover1","rp","spillover1 rp",3,0,220,220,"Unambiguous","Match"
"13478","Native","Native Native 1",9,"spillover1","rp","spillover1 rp",1,0,178,178,"Ambiguous","Match"
"13480","Native","Native Native 1",8,"spillover1","rp","spillover1 rp",4,0,442,442,"Unambiguous","Mismatch"
"13482","Native","Native Native 1",4,"spillover1","rp","spillover1 rp",4,0,224,224,"Unambiguous","Mismatch"
"13484","Native","Native Native 1",20,"spillover1","rp","spillover1 rp",4,0,341,341,"Unambiguous","Mismatch"
"13486","Native","Native Native 1",18,"spillover1","rp","spillover1 rp",2,0,266,266,"Ambiguous","Mismatch"
"13488","Native","Native Native 1",22,"spillover1","rp","spillover1 rp",2,0,433,433,"Ambiguous","Mismatch"
"13490","Native","Native Native 2",14,"spillover1","rp","spillover1 rp",3,0,685,685,"Unambiguous","Match"
"13492","Native","Native Native 2",4,"spillover1","rp","spillover1 rp",1,0,2064,2064,"Ambiguous","Match"
"13494","Native","Native Native 2",19,"spillover1","rp","spillover1 rp",4,0,195,195,"Unambiguous","Mismatch"
"13496","Native","Native Native 2",1,"spillover1","rp","spillover1 rp",2,0,205,205,"Ambiguous","Mismatch"
"13498","Native","Native Native 2",5,"spillover1","rp","spillover1 rp",2,0,683,683,"Ambiguous","Mismatch"
"13500","Native","Native Native 2",15,"spillover1","rp","spillover1 rp",4,0,332,332,"Unambiguous","Mismatch"
